"index"	"video"	"video_type"	"question"	"answer"	"dimensions"	"video_path"
"16"	"qsqGAaEV3lw"	"Games"	"If a player started a vote and the vote failed, after 4 minutes, he wants to start a vote again, what would happen?"	"He/she will not be able to start a vote, since a player can't initiate 2 votes within 6 minutes."	"['OCR', 'Mathematical Calculation']"	"./video/qsqGAaEV3lw.mp4"
"17"	"qsqGAaEV3lw"	"Games"	"What would happen to surrender vote when there are not enough votes left for it to pass?"	"It will automatically close."	"['OCR']"	"./video/qsqGAaEV3lw.mp4"
"18"	"qsqGAaEV3lw"	"Games"	"What's the fifth point regarding surrender?"	"I don't know, since there are only 4 points mentioned in the video."	"['Hallucination']"	"./video/qsqGAaEV3lw.mp4"
"19"	"lZC0QV4N3OU_processed"	"Games"	"What is Bel'Veth's ability E called?"	"It's called ""Royal Maelstrom""."	"['OCR']"	"./video/lZC0QV4N3OU_processed.mp4"
"20"	"lZC0QV4N3OU_processed"	"Games"	"How many times can Bel'Veth use her Q at once?"	"4"	"['Counting']"	"./video/lZC0QV4N3OU_processed.mp4"
"21"	"lZC0QV4N3OU_processed"	"Games"	"When will Bel'Veth's Q get the ability to pass through walls?"	"Once has filled her stomach and assumed her ture form (after using R)."	"['Human Motion']"	"./video/lZC0QV4N3OU_processed.mp4"
"22"	"lZC0QV4N3OU_processed"	"Games"	"What is the sixth ability of the character in the video?"	"I don't know, since there are only 5 ability mentioned in the video."	"['Hallucination']"	"./video/lZC0QV4N3OU_processed.mp4"
"23"	"6MSJsDyFxcQ"	"Games"	"Which two guns does the author recommend at the beginning of the video?"	"Tranquilizer Rifle and Steel net gun."	"['OCR']"	"./video/6MSJsDyFxcQ.mp4"
"24"	"6MSJsDyFxcQ"	"Games"	"What does the restaurant featured in the video sell?"	"Sushi and Seafood Cuisine"	"['Attribute Recognition']"	"./video/6MSJsDyFxcQ.mp4"
"25"	"6MSJsDyFxcQ"	"Games"	"What animal is racing in the race that appears at the end of the video?"	"Seahorses"	"['Object Recognition']"	"./video/6MSJsDyFxcQ.mp4"
"26"	"5zCc934KAi0"	"Games"	"What happened to the house after the soldiers shot arrows at it?"	"It was on fire."	"['Event Recognition']"	"./video/5zCc934KAi0.mp4"
"27"	"5zCc934KAi0"	"Games"	"In the second half of the video, where does the character in the picture jump in from a great height?"	"He jumped into the straw."	"['Human Motion']"	"./video/5zCc934KAi0.mp4"
"28"	"5zCc934KAi0"	"Games"	"What do you think is the occupation of the character in the video?"	"An assassin or a warrior."	"['Identity Reasoning']"	"./video/5zCc934KAi0.mp4"
"29"	"hSZLHJRZUOg_processed"	"Games"	"What weapon did the main character use to kill the black bear at the beginning of the video?"	"He used a bow and arrow."	"['Human-object Interaction']"	"./video/hSZLHJRZUOg_processed.mp4"
"30"	"hSZLHJRZUOg_processed"	"Games"	"How many shingles are on the roof in the video?"	"There is no way to know based on the video content."	"['Hallucination']"	"./video/hSZLHJRZUOg_processed.mp4"
"31"	"ZRrYCyEc9_M"	"Games"	"How much does a nugget weigh in the video?"	"19.3 tonnes"	"['OCR']"	"./video/ZRrYCyEc9_M.mp4"
"32"	"ZRrYCyEc9_M"	"Games"	"An enchanted golden apple weighs as much as what object?"	"A single airplane."	"['Object Recognition']"	"./video/ZRrYCyEc9_M.mp4"
"33"	"ZRrYCyEc9_M"	"Games"	"Why does the author say that cows are the heaviest in the game?"	"Because you can milk an infinite amount of milk out of a cow, and the cow needs nothing to produce it."	"['Causal Reasoning']"	"./video/ZRrYCyEc9_M.mp4"
"34"	"vTxcVxD3Uk0"	"Games"	"What are EL Nino's two skills?"	"Cleaning Master and Drinking Serving Master"	"['OCR']"	"./video/vTxcVxD3Uk0.mp4"
"35"	"vTxcVxD3Uk0"	"Games"	"What is the author's net profit for one night"	"17101"	"['OCR']"	"./video/vTxcVxD3Uk0.mp4"
"36"	"vTxcVxD3Uk0"	"Games"	"What is the price of the tropical fish sushi set?"	"825"	"['OCR']"	"./video/vTxcVxD3Uk0.mp4"
"37"	"aR-KAldshAE"	"Games"	"What season does it look like in the first minute of the video?"	"Winter."	"['Video Scene']"	"./video/aR-KAldshAE.mp4"
"38"	"aR-KAldshAE"	"Games"	"What does the pink-haired character have on her hand?"	"A pair of metal gloves."	"['Object Recognition']"	"./video/aR-KAldshAE.mp4"
"39"	"aR-KAldshAE"	"Games"	"What game is this video from?"	"League of Legends"	"['OCR']"	"./video/aR-KAldshAE.mp4"
"40"	"vNFSIHdsMT8_processed"	"Games"	"Which weapon in the video allows the player to breathe underwater?"	"Poseidon's Trident"	"['OCR', 'Causal Reasoning']"	"./video/vNFSIHdsMT8_processed.mp4"
"41"	"Ak1eEUNrpgo_processed"	"Games"	"What is the player trying to make in the video?"	"A actual working plane."	"['Object Recognition']"	"./video/Ak1eEUNrpgo_processed.mp4"
"42"	"Ak1eEUNrpgo_processed"	"Games"	"How many areas are there in the center of the plane? "	"Four."	"['Counting']"	"./video/Ak1eEUNrpgo_processed.mp4"
"43"	"Ak1eEUNrpgo_processed"	"Games"	"Who was the captain of this plane?"	"There is no way to know based on the video content."	"['Hallucination']"	"./video/Ak1eEUNrpgo_processed.mp4"
"44"	"Uq9jqhSOUQQ"	"Games"	"What's the colour of the car in the video?"	"Green."	"['Attribute Recognition']"	"./video/Uq9jqhSOUQQ.mp4"
"45"	"Uq9jqhSOUQQ"	"Games"	"What is the word on the little model car?"	"Bandito."	"['OCR']"	"./video/Uq9jqhSOUQQ.mp4"
"46"	"Uq9jqhSOUQQ"	"Games"	"When will the next installment of this game be released?"	"There is no way to know based on the video content."	"['Hallucination']"	"./video/Uq9jqhSOUQQ.mp4"
"47"	"hIyrb8PeGXs"	"Games"	"What color are the nails of a woman with white hair?"	"Pink or purple"	"['Attribute Recognition']"	"./video/hIyrb8PeGXs.mp4"
"48"	"hIyrb8PeGXs"	"Games"	"What do gray-haired women feed men?"	"Poison."	"['Causal Reasoning']"	"./video/hIyrb8PeGXs.mp4"
"49"	"hIyrb8PeGXs"	"Games"	"Can this game be played on PlayStation 5?"	"There is no way to know based on the video content."	"['Hallucination']"	"./video/hIyrb8PeGXs.mp4"
"50"	"Qnyb73rf7gM_processed"	"Games"	"What is the function of the little tank that appears in the video?"	"It can break through floors and wooden doors."	"['Function Reasoning']"	"./video/Qnyb73rf7gM_processed.mp4"
"51"	"Qnyb73rf7gM_processed"	"Games"	"How many saws are in front of the little tank?"	"4"	"['Counting']"	"./video/Qnyb73rf7gM_processed.mp4"
"52"	"Qnyb73rf7gM_processed"	"Games"	"What color is the gas tank behind the little tank?"	"Red."	"['Attribute Recognition']"	"./video/Qnyb73rf7gM_processed.mp4"
"53"	"Qnyb73rf7gM_processed"	"Games"	"Can this game be streamed in mainland China?"	"There is no way to know based on the video content."	"['Hallucination']"	"./video/Qnyb73rf7gM_processed.mp4"
"54"	"ka5t4Msfras"	"Games"	"What is the building in the video"	"A tower."	"['Object Recognition']"	"./video/ka5t4Msfras.mp4"
"55"	"ka5t4Msfras"	"Games"	"What crashed in the video?"	"A helicopter"	"['Object Recognition']"	"./video/ka5t4Msfras.mp4"
"56"	"ka5t4Msfras"	"Games"	"Was there a person in the video whose rope broke?"	"Yes, it's a woman."	"['Human Motion']"	"./video/ka5t4Msfras.mp4"
"57"	"LqNCz7q0bf4_processed"	"Games"	"What is the scene at midpart of the video?"	"Kitchen."	"['Video Scene']"	"./video/LqNCz7q0bf4_processed.mp4"
"58"	"LqNCz7q0bf4_processed"	"Games"	"What is the name of the bar in the video?"	"Sunrise Bar."	"['OCR']"	"./video/LqNCz7q0bf4_processed.mp4"
"59"	"dSHcCllTCzY"	"Games"	"Which two games does this video appear to be a combination of?"	"League of Legends and Minecraft."	"['Common Sense Reasoning']"	"./video/dSHcCllTCzY.mp4"
"60"	"dSHcCllTCzY"	"Games"	"Did the main character die in battle at the end?"	"It's a good bet that it is."	"['Future Prediction']"	"./video/dSHcCllTCzY.mp4"
"61"	"9mKJtnY3qgQ_processed"	"Games"	"How much does a chili cost?"	"125"	"['OCR', 'Object Recognition']"	"./video/9mKJtnY3qgQ_processed.mp4"
"62"	"9mKJtnY3qgQ_processed"	"Games"	"What color are the eyes of a giant zombie?"	"Red."	"['Attribute Recognition']"	"./video/9mKJtnY3qgQ_processed.mp4"
"63"	"X-miELlaEYw"	"Games"	"How long did it take the author to get through?"	"07:42.7"	"['OCR']"	"./video/X-miELlaEYw.mp4"
"64"	"UBV5mJuJ1xg"	"Computers & Electronics"	"Which brand first appeared in the video?"	"Realme"	"['Structuralized Image-Text Understanding']"	"./video/UBV5mJuJ1xg.mp4"
"65"	"UBV5mJuJ1xg"	"Computers & Electronics"	"Who is the founder of Lenovo?"	"Liu Chuanzhi"	"['Structuralized Image-Text Understanding']"	"./video/UBV5mJuJ1xg.mp4"
"66"	"UBV5mJuJ1xg"	"Computers & Electronics"	"Which brand was founded by Laurent Dahan?"	"Wiko"	"['Structuralized Image-Text Understanding']"	"./video/UBV5mJuJ1xg.mp4"
"67"	"SvUHeoFtSKw"	"Computers & Electronics"	"Which brand's phones were introduced in this video?"	"Nokia"	"['Video Topic', 'OCR']"	"./video/SvUHeoFtSKw.mp4"
"68"	"SvUHeoFtSKw"	"Computers & Electronics"	"How many colors does the Nokia C22 have?"	"2"	"['Counting', 'Attribute Recognition']"	"./video/SvUHeoFtSKw.mp4"
"69"	"SvUHeoFtSKw"	"Computers & Electronics"	"What features of Nokia G22 were mentioned in the video?"	"Smooth user experience; 3 days battery life; quick fix self-repair; 100% recycled plastic back; AI camera; refined audio."	"['OCR']"	"./video/SvUHeoFtSKw.mp4"
"70"	"SvUHeoFtSKw"	"Computers & Electronics"	"Are these phones waterproof?"	"There is no way to know based on the video content."	"['Hallucination']"	"./video/SvUHeoFtSKw.mp4"
"71"	"y0ozEcgchhw"	"Computers & Electronics"	"Which brand is mentioned first in the video?"	"Samsung"	"['OCR']"	"./video/y0ozEcgchhw.mp4"
"72"	"y0ozEcgchhw"	"Computers & Electronics"	"How many types of oppo's phone were mentioned in the video?"	"1"	"['OCR', 'Counting']"	"./video/y0ozEcgchhw.mp4"
"73"	"y0ozEcgchhw"	"Computers & Electronics"	"Where does Google's phone pixel 7 rank according to this video? "	"The 2nd place"	"['OCR']"	"./video/y0ozEcgchhw.mp4"
"74"	"HtFrFZN8ud4"	"Business & Industrial"	"Based on this video, what is the slogan of the rank-8 IT company in India?"	"The Next Applied"	"['OCR']"	"./video/HtFrFZN8ud4.mp4"
"75"	"HtFrFZN8ud4"	"Business & Industrial"	"Based on this video, which company is the rand-8 IT company in India?"	"HCL Technologies."	"['OCR']"	"./video/HtFrFZN8ud4.mp4"
"76"	"HtFrFZN8ud4"	"Business & Industrial"	"Based on this video, which company is the top 9 IT company in India?"	"Mindtree."	"['OCR']"	"./video/HtFrFZN8ud4.mp4"
"77"	"ZuqdsI5hNJ4"	"Finance"	"Which hand of the man in the video is wearing a watch?"	"He wears an electronic watch on his left hand."	"['Physical Relation']"	"./video/ZuqdsI5hNJ4.mp4"
"78"	"ZuqdsI5hNJ4"	"Finance"	"Is this man wearing sunglasses?"	"No. He wears myopia glasses."	"['Object Recognition']"	"./video/ZuqdsI5hNJ4.mp4"
"79"	"ZuqdsI5hNJ4"	"Finance"	"There is only one real estate developer left in the top 10 list of China's richest people. Who is this person?"	"He is Li Ka-shing"	"['OCR', 'Video Topic']"	"./video/ZuqdsI5hNJ4.mp4"
"80"	"Y2gLmboNrKk"	"Finance"	"What are the three main reasons why analysts believe the neutral rate could be higher than before 2020?"	"There are three important reasons for this.
1. Economic growth is now well ahead of the Fed’s long-term potential growth rate.
2. Expansion of the government deficit and investment in clean energy may increase the demand for saving and push up the neutral interest rate.
3. Retirees in industrial economies may be spending those savings now."	"['Video Topic']"	"./video/Y2gLmboNrKk.mp4"
"81"	"Y2gLmboNrKk"	"Finance"	"What does this news in the video reveal?"	"This reveals an important turning point in the global economy from a prolonged low interest rate environment to a possible era of higher interest rates."	"['Video Topic']"	"./video/Y2gLmboNrKk.mp4"
"82"	"Y2gLmboNrKk"	"Finance"	"Are there any dollars in the video?"	"Yes. The dollar bills appear around the 21s of the video."	"['Object Recognition']"	"./video/Y2gLmboNrKk.mp4"
"83"	"wfQlSw2zeZk"	"Finance"	"What do the summit participants need to do before entering the venue?"	"Before that, they need to open the vaccine pass and scan the code to enter."	"['Human Motion', 'OCR']"	"./video/wfQlSw2zeZk.mp4"
"84"	"wfQlSw2zeZk"	"Finance"	"Why did some American financial predators default on this summit?"	"The reasons for their absence were schedule conflicts or COVID-19 infection, but some media believed that they had received pressure from the US government."	"['OCR']"	"./video/wfQlSw2zeZk.mp4"
"85"	"lnShWOBzgGM"	"Finance"	"What color is the hostess' coat?"	"Her coat is pink."	"['Attribute Recognition']"	"./video/lnShWOBzgGM.mp4"
"86"	"lnShWOBzgGM"	"Finance"	"Does the Republican Party support or oppose the Biden administration's move?"	"The Republican Party criticized the Biden administration for waste."	"['OCR']"	"./video/lnShWOBzgGM.mp4"
"87"	"lnShWOBzgGM"	"Finance"	"Did Biden make more or less money this year than last year?"	"Biden unveils taxes and gets paid less than last year."	"['OCR']"	"./video/lnShWOBzgGM.mp4"
"88"	"DsCMMJTCGk4"	"Finance"	"Is the stock price index of the banking industry rising or falling?"	"The banking sector's share price index rose 2.92%"	"['OCR']"	"./video/DsCMMJTCGk4.mp4"
"89"	"DsCMMJTCGk4"	"Finance"	"What is the occupation of the girl in the video?"	"Her occupation is a commentator for Securities Daily."	"['Identity Reasoning']"	"./video/DsCMMJTCGk4.mp4"
"90"	"akJ6MPa7ujs"	"Finance"	"What is the main topic in the video?"	"This video talks about the knowledge of stock trading."	"['Video Topic']"	"./video/akJ6MPa7ujs.mp4"
"91"	"akJ6MPa7ujs"	"Finance"	"What is this man wearing on his head?"	"he was wearing a gray baseball cap."	"['Object Recognition']"	"./video/akJ6MPa7ujs.mp4"
"92"	"akJ6MPa7ujs"	"Finance"	"What is the unit price of this stock in this video?"	"26.00"	"['OCR']"	"./video/akJ6MPa7ujs.mp4"
"93"	"ODzyaMRExpA"	"Finance"	"What is this video mainly about?"	"This video talks about experiences about stock trading."	"['Video Topic']"	"./video/ODzyaMRExpA.mp4"
"94"	"ODzyaMRExpA"	"Finance"	"On the shelf in the video, are the books above the globe or under?"	"No. The book is placed under the globe."	"['Spatial Relationship']"	"./video/ODzyaMRExpA.mp4"
"95"	"gNBg3wqo_cM"	"News"	"How old is the suspect this year?"	"He is 46 years old."	"['OCR']"	"./video/gNBg3wqo_cM.mp4"
"96"	"gNBg3wqo_cM"	"News"	"What is the main content of this video?"	"An artist is suspected of having counterfeit NT$500 banknotes on the market. The artist specializes in making counterfeit banknotes and sells them. The studio turns into a counterfeit banknote manufacturing factory."	"['Video Topic']"	"./video/gNBg3wqo_cM.mp4"
"97"	"gNBg3wqo_cM"	"News"	"What are the characteristics of this counterfeit banknote compared to real banknotes?"	"Counterfeit banknotes are not saturated in color and smooth to the touch."	"['OCR']"	"./video/gNBg3wqo_cM.mp4"
"98"	"YdySNuZSh4Y"	"Finance"	"What color coat is the hostess wearing?"	"She wears a red coat."	"['Attribute Recognition']"	"./video/YdySNuZSh4Y.mp4"
"99"	"YdySNuZSh4Y"	"Finance"	"What topic is this video about?"	"Interest rates surge, S&P warns of rising debt default risks for Latin American companies"	"['Video Topic']"	"./video/YdySNuZSh4Y.mp4"
"100"	"YdySNuZSh4Y"	"Finance"	"Which Latin American country's flag is shown in the video?"	"The flag of Brazil appears in the video."	"['Object Recognition', 'Common Sense Reasoning']"	"./video/YdySNuZSh4Y.mp4"
"101"	"Pfq9tqX_r-4"	"Finance"	"What is this video about?"	"This video explains in layman's terms how finance works."	"['Video Topic']"	"./video/Pfq9tqX_r-4.mp4"
"102"	"Pfq9tqX_r-4"	"Finance"	"What is the interest rate in the example given in this video?"	"10/100 = 0.1 = 10%, so the interest rate is 10%."	"['Mathematical Calculation']"	"./video/Pfq9tqX_r-4.mp4"
"103"	"eebTIZHJLjY"	"Finance"	"Why is there a picture of a motorcycle in the video?"	"This clip is used to show that some young people like to ""invest"" in the style of gambling, which is not actually an investment."	"['Counterfactual Reasoning']"	"./video/eebTIZHJLjY.mp4"
"104"	"eebTIZHJLjY"	"Finance"	"What is there in the space between two people?"	"There are some books on the shelf and a light bulb."	"['Physical Relation']"	"./video/eebTIZHJLjY.mp4"
"105"	"bVceDFUlkX4"	"Finance"	"What is the relationship between the two people sitting face to face in the video?"	"Both of them are professors of Tsinghua University, so they are colleagues."	"['Social Relation']"	"./video/bVceDFUlkX4.mp4"
"106"	"_162kFAC6Po"	"Finance"	"What is this video mainly about?"	"This video explains some financial terms."	"['Video Topic']"	"./video/_162kFAC6Po.mp4"
"107"	"_162kFAC6Po"	"Finance"	"How many financial terms does this video explain?"	"A total of 5 terms are discussed in the video. Respectively GDP, GNP, GNI, CPI, and PPI."	"['Counting']"	"./video/_162kFAC6Po.mp4"
"108"	"_162kFAC6Po"	"Finance"	"How to Calculate GDP?"	"GDP = C + I + G + (X - M). GDP equals the sum of consumption, private investment, government spending, and net exports."	"['OCR']"	"./video/_162kFAC6Po.mp4"
"109"	"ZvI34uOUR1U"	"Finance"	"What color is the hostess wearing in the video?"	"Yellow."	"['Attribute Recognition']"	"./video/ZvI34uOUR1U.mp4"
"110"	"ZvI34uOUR1U"	"Finance"	"According to the video, has the stock of Tesla risen or dropped recently?"	"Tesla stock price in China drops sharply."	"['Structuralized Image-Text Understanding']"	"./video/ZvI34uOUR1U.mp4"
"111"	"ZvI34uOUR1U"	"Finance"	"Does the man in the video wear glasses?"	"Yes, he does."	"['Object Recognition']"	"./video/ZvI34uOUR1U.mp4"
"112"	"jF31ICvl1T8"	"Finance"	"In the video, what color tie is the host wearing?"	"Dark purple."	"['Attribute Recognition']"	"./video/jF31ICvl1T8.mp4"
"113"	"jF31ICvl1T8"	"Finance"	"According to the SHORTAGE OF LAND FOR HOME BUILDING chart, 
Is the median price continuing to decline?"	"No. According to the chart, it can be seen that the median price is slowly rising."	"['Structuralized Image-Text Understanding']"	"./video/jF31ICvl1T8.mp4"
"114"	"jF31ICvl1T8"	"Finance"	"How many hosts appear in the video?"	"Just one male presenter."	"['Counting']"	"./video/jF31ICvl1T8.mp4"
"115"	"a1ZNeTpMve8"	"Finance"	"Are there phone interviews in the video?"	"Certainly. Journalist interviewing finance professor on the phone."	"['Video Scene']"	"./video/a1ZNeTpMve8.mp4"
"116"	"a1ZNeTpMve8"	"Finance"	"How much money does the bank expect to lose in the video?"	"Banks expect losses of NT$300 billion."	"['OCR']"	"./video/a1ZNeTpMve8.mp4"
"117"	"a1ZNeTpMve8"	"Finance"	"Where can I download the test papers for the climate risk stress test for the financial industry that appear in the video?"	"I dont know."	"['Hallucination']"	"./video/a1ZNeTpMve8.mp4"
"118"	"_3CvF9fk7Bc"	"Finance"	"Is Silicon Valley Bank facing an opportunity or a challenge now?"	"Silicon Valley Bank encountered a financial turmoil and fell into a liquidity crisis."	"['OCR']"	"./video/_3CvF9fk7Bc.mp4"
"119"	"_3CvF9fk7Bc"	"Finance"	"What news is this video about?"	"This video is about financial news."	"['Video Topic']"	"./video/_3CvF9fk7Bc.mp4"
"120"	"_3CvF9fk7Bc"	"Finance"	"According to the content of the video, how much money does the market value of Silicon Valley Bank evaporate in one day?"	"Silicon Valley Bank lost $9.4 billion in market value in one day."	"['OCR']"	"./video/_3CvF9fk7Bc.mp4"
"121"	"ucIDF_ZHdhY"	"Finance"	"Who will have the higher year-on-year CPI index between Singapore and Hong Kong in 2023?"	"According to the CPI trend chart in the video, Singapore is higher."	"['Structuralized Image-Text Understanding']"	"./video/ucIDF_ZHdhY.mp4"
"122"	"ucIDF_ZHdhY"	"Finance"	"Why do many corporate employees in Singapore consider choosing to go to other countries?"	"Because the depression of the financial and economic market has brought about a sharp increase in rent and an increase in the cost of living."	"['OCR', 'Causal Reasoning']"	"./video/ucIDF_ZHdhY.mp4"
"123"	"ucIDF_ZHdhY"	"Finance"	"Is the journalist in the video doing the interview outside a man or a woman?"	"She is a female news reporter."	"['Attribute Recognition']"	"./video/ucIDF_ZHdhY.mp4"
"124"	"Jya57T7AbOk"	"Finance"	"Do female news anchors wear ties?"	"No. Her clothes just looked like she was wearing a tie, but she wasn't."	"['Object Recognition']"	"./video/Jya57T7AbOk.mp4"
"125"	"Jya57T7AbOk"	"Finance"	"What kind of news is this?"	"This is a financial news."	"['Video Topic']"	"./video/Jya57T7AbOk.mp4"
"126"	"YWcOgD644uY"	"Finance"	"What is the gender of the head of the Acreist Financial Group that appears in the video?"	"He is a man."	"['Attribute Recognition']"	"./video/YWcOgD644uY.mp4"
"127"	"YWcOgD644uY"	"Finance"	"What is the main content of this video?"	"This video mainly talks about the 100 billion fraud of Acreist Financial Group."	"['Video Topic']"	"./video/YWcOgD644uY.mp4"
"128"	"cNxDaGG3G_g"	"Finance"	"What is this video mainly about?"	"The video focuses on the financial aspect."	"['Video Topic']"	"./video/cNxDaGG3G_g.mp4"
"129"	"cNxDaGG3G_g"	"Finance"	"What color is the hostess' skirt?"	"She is wearing a white dress."	"['Attribute Recognition']"	"./video/cNxDaGG3G_g.mp4"
"130"	"cHazQV45SPs"	"Finance"	"How many important pieces of information did the host say?"	"She said 5 things.
1. Three U.S. banks fail in a row in a week
2. Credit Suisse crisis shock
3. China and other countries continue to sell US bonds
4. What does it mean to be optimistic about the gold market outlook
5. Xi Jinping's visit to Russia"	"['Counting', 'Video Topic']"	"./video/cHazQV45SPs.mp4"
"131"	"cHazQV45SPs"	"Finance"	"Why has the Fed continued to raise interest rates in recent years?"	"This is to deal with the problem of high domestic inflation."	"['Causal Reasoning']"	"./video/cHazQV45SPs.mp4"
"132"	"cHazQV45SPs"	"Finance"	"What color is the hostess's hair?"	"Her hair is pink."	"['Attribute Recognition']"	"./video/cHazQV45SPs.mp4"
"133"	"2Zajc7w1VF0"	"Finance"	"What major does the girl in the video study?"	"She studies finance."	"['OCR']"	"./video/2Zajc7w1VF0.mp4"
"134"	"2Zajc7w1VF0"	"Finance"	"Do the girls in the video support the statement that ""studying finance requires a good family background""?"	"Not support. The girl believes that only specific positions in finance majors require strong family background support, and most positions do not require family background support."	"['OCR']"	"./video/2Zajc7w1VF0.mp4"
"135"	"2Zajc7w1VF0"	"Finance"	"What finance-related jobs does the person say are particularly suitable for girls?"	"Professor of Finance"	"['OCR']"	"./video/2Zajc7w1VF0.mp4"
"136"	"ebFwtm1hUWM"	"Food & Drink"	"Has this food blogger eaten chicken feet?"	"Yes, the food blogger has already eaten the marinated chicken feet?"	"['Object Recognition']"	"./video/ebFwtm1hUWM.mp4"
"137"	"ebFwtm1hUWM"	"Food & Drink"	"Does mapo tofu appear in this video?"	"Yes, the food bloggers in this video have already eaten mapo tofu."	"['Object Recognition']"	"./video/ebFwtm1hUWM.mp4"
"138"	"ebFwtm1hUWM"	"Food & Drink"	"What is the main topic of the video?"	"This is a video about food in China."	"['Video Topic']"	"./video/ebFwtm1hUWM.mp4"
"139"	"ebFwtm1hUWM"	"Food & Drink"	"How did the guy and the girl look after eating the meat with rice?"	"They looked satisfied and happy."	"['Video Emotion']"	"./video/ebFwtm1hUWM.mp4"
"140"	"WxrrecBAErI"	"Food & Drink"	"How many cups of milk tea did the man buy in Korea?"	"The male blogger bought 3 cups of milk tea for 100 RMB in South Korea."	"['Counting']"	"./video/WxrrecBAErI.mp4"
"141"	"WxrrecBAErI"	"Food & Drink"	"How did the guy look when the girl was trying to eat his sausage?"	"He looked reluctant."	"['Video Emotion']"	"./video/WxrrecBAErI.mp4"
"142"	"_e7NvQFJ2uA"	"Food & Drink"	"Are there potatoes in the video?"	"Yes, the box lunch comes with fried meat and potatoes."	"['Object Recognition']"	"./video/_e7NvQFJ2uA.mp4"
"143"	"_e7NvQFJ2uA"	"Food & Drink"	"What's the mood change like for the guy with the glasses in the video?"	"The boy was happy and proud at first, then doubtful and depressed, and finally happy again."	"['Video Emotion']"	"./video/_e7NvQFJ2uA.mp4"
"144"	"_e7NvQFJ2uA"	"Food & Drink"	"In the video, the boy with the eyes takes out a box lunch. How many people does this box lunch serve?"	"According to the subtitles inside the video, the boy wearing glasses said that the box lunch is for one person."	"['OCR']"	"./video/_e7NvQFJ2uA.mp4"
"145"	"_e7NvQFJ2uA"	"Food & Drink"	"How did the guy in the blue and white coat look when he was waken up?"	"He looked sleepy and down."	"['Video Emotion']"	"./video/_e7NvQFJ2uA.mp4"
"146"	"sWdMVLTeIxo"	"Food & Drink"	"What kind of food is this?"	"This is fried chicken."	"['Object Recognition']"	"./video/sWdMVLTeIxo.mp4"
